Singer,Name,Lyric,Category
A-Lin, 旅．課,多吵鬧的安靜的 那幾年都看遍再自我的灑脫的 可心酸卻難免天真以為 懷念是偶發事件後來發現 其實都在 流連曾荒唐的糊塗的 談起來多經典最難捨的執迷的 卻最無法諒解當熾熱的沸騰的 又在一夜冷卻只剩孤單的 狼狽的 省略旅程還遙遠 沿途風景如詩變遷游離的溫暖 仍教我哽咽在下個終點 也許還能駐足懷緬留在時光裡 珍藏的那些  多激烈的糾纏的 總顯得敷衍再銘心的刻骨的 我們兩不相欠說冷漠的不堪的 誰傷得多一點不如乾脆些 別浪費時間旅程還遙遠 沿途風景如詩變遷游離的溫暖 仍教我哽咽在下個終點 也許還能駐足懷緬留在時光裡 悉心珍藏的永遠如果某一天 旅途又能回到起點我們會不會 選擇重複的體會而時間早沈默地 預示了這一切可我們總固執的 後知後覺,悲傷
A-Lin, 最悲傷的事,你沒帶走　所有的思念請退回我的抱歉　請討厭我的討厭完整的故事　不完整的圓最悲傷的事　是我還在原點我也厭倦　廉價的誓言依賴著你的依賴　卻還期待著期待卑微的字眼　配合的表演最悲傷的事　是你不拖不欠別回頭　每當你又虧欠我日日夜夜　近近遠遠感覺會替代感覺遺憾從未走遠　只是幸福已經不見　oh～給自己　一個不愛的理由真真切切　隱隱約約  寂寞表現了表現儘管下雨的街頭　也曾有你的守候我學習著　潮汐的時間提醒著你的離開　卻存在我的存在孤獨的永遠　輕撫著從前最悲傷的事　是我們還想念別回頭　每當你又虧欠我日日夜夜　近近遠遠感覺會替代感覺遺憾從未走遠　只是幸福已經不見給自己　一個不愛的理由真真切切　隱隱約約寂寞表現了表現儘管下雨的街頭　也曾有你的守候給我們　一個相遇的藉口心心念念　輕輕淺淺眷戀執著著眷戀再次重逢的午後　會是悲傷的盡頭,悲傷
A-Lin, 無人知曉的我,有些話不知道要怎麼說那些欲言又止一笑帶過明明渴求溫柔 偏偏覆水難收沙沙風吹心湖 陣陣不平攪和無人知曉的我 固執的自轉陀螺無眠的黎明是夜的血痕走多遠還是在原地的人時光的列車開不回昨天再也無法去愛像那些年無人知曉的我 喔沒一個人可訴說 喔有些話不知道要怎麼說那些欲言又止 低頭沉默  明明以為是對 偏偏統統是錯沙沙風吹心湖 陣陣不平攪和無人知曉的我 固執的自轉陀螺那城市的高樓是土地的瘤霓虹的喧鬧是無聲尖叫時光的列車開不回昨天再也無法直接向那些年無人知曉的我 喔沒一個人可訴說 喔有些話不知道要怎麼說那些欲言又止 終被淹沒明明渴求快樂 偏偏只有寂寞沙沙風吹心湖 陣陣不平攪和無人知曉的我 我和我失去聯絡,悲傷
A-Lin, 難得孤寂,累得不想有表情 忙得厭煩了呼吸難得和這城市中斷聯繫在一個人的途上 途人不會怪我不回信息路燈不會問我 有問題怎麼處理讓我在我的人生裡消失 把來歷都忘記什麼關係 都沒關係只有空氣 不用爭氣暫時跟這個世界保持安靜的距離熱鬧容易 難得孤寂我才捨不得問自己從哪裡來 又要往哪裡去累得不想有表情 忙得厭煩了呼吸難得和這城市中斷聯繫終於不用有動機 喘口氣不用那麼有出息  難得在人際的夾縫裡找到空隙讓我慢條斯理無所事事 把時間都忘記總是有太多事需要顧忌總會有太多人需要惦記總是要活得太小心翼翼什麼關係 都沒關係只有空氣 不用爭氣容許我和這親愛的世界若即若離熱鬧容易 難得孤寂只有我不追問自己從哪裡來又要往哪裡去甚至懶得知道我在哪裡,悲傷
A-Lin, Gentlewoman,你下車我開門 你血拼我在等如果你覺得冷 脫下外套披你身你怕黑我開燈 你要花錢我來掙有些事不用爭 誰有這本領誰上陣I'm the one GentlewomanI'm the one GentlewomanI'm the one Gentlewoman叫我們Gentlewoman女人要像個女人 什麼時代留下的老梗你也撒嬌偶爾賣萌 難道不是男人Boom Sha BoomBoom Boom Boom BoomBoom Sha BoomBoom Boom Boom BoomBoom Sha BoomBoom Boom Boom BoomBoom Sha BoomBoom Boom Boom Boom風度翩翩的小姐 也是風情萬種的先生你要是真心想誇人 叫ta男女不分  既衝鋒又陷陣 也塗脂與抹粉出來混要夠狠 雌雄莫辨才萬能付帳單負責任 就讓我們都對分還敢說不平等 你試試天天穿高跟風度翩翩的小姐 也是風情萬種的先生最姿態美妙的平衡 叫做男女不分每個男人 背後一定有個女人每個女人 有一半也是男人男神女神 實在沒有需要分只要ta能叫我們叫我們 叫我們 叫我們三從四德有點悶 只管相夫教子太單純頂天立地能屈能伸 難道不是女人風度翩翩的小姐 也是風情萬種的先生最東方不敗的精神 叫做男女不分Boom Boom BoomLet's goBoom Boom Boom,嗨歌
A-Lin, 一舞鍾情,來～遊戲 通關自己 激活自信太～吸引 裝扮升級 心就炫麗Hey Hey 聽紐約上海全世界舞動回應Hey Hey 快樂像無可抵抗的地心引力來用汗水揮灑旋律 初戀實境 一舞鍾情Dancing in the sky Oh Dancing in the sky不信來跟我們一起 Dancing in the skyDancing all my life Oh Dancing all my life  哪來什麼可以煩心愛~舞力全開Oh~還擁有同伴愛~跟上節拍一連線 我和你 就同在愛～有你 親密炫技 心動連擊快～奮起 勇敢私訊 遇見命定Hey Hey 聽首爾北京全世界快樂共鳴Hey Hey 幸福是好友們分享最狂樂趣想要心跳超過頻率 把手牽起 一舞鍾情,嗨歌
A-Lin, 乖,呵欠搭配爆米花你悶了嗎 睡了嗎這前戲拖的太漫長沒爆點嗎 太解嗎鎂光燈下 他忙著製造冷場歹戲拖棚 害觀眾都要離場麻煩大家 請稍安勿躁放心期待吧乖 聽我的話 統統給我聽話低潮之後有高潮 值回票價乖 聽我的話 準備尖叫了嗎好戲總在後頭 你沒聽過嗎倒數計時 壓軸出場乖 聽我的話 這樣夠high了嗎  看我創造神話 來崇拜我吧流的汗比雷聲雨點還大夠酷了嗎 你怕了嗎誰是A咖 在最後立見高下看清楚嗎蟄伏太久 心花正要發芽佈置太久 那煙花正要爆炸認命好嗎 輪到我上場就給你好看吧不慌不忙 不急不徐我的時代 就要光臨會是我的 就是我的蓄勢待發 不用心急,嗨歌
A-Lin,1828,喜歡你 在台上 很享受彈奏著soloYou are my rolling stone你身邊 有個girl 不是我身穿著Dior我怎麼比得過只有18歲的我我不想要等你等得太久快選我快快快快 往下看我在台下為你呼喊煩煩煩煩 你的愛不用尖叫也得你青睞怎麼叫 怎麼跳你也看不到No我轉身了這不像是我的tone調「上帝祂自有安排，祝福你和她美好將來」現在我 很幸福 不寂寞一站上舞台眼神就很燦爛我身邊 這個boy 很愛我  喜歡打棒球說永遠照顧我已28歲的我獨立自主又成熟很快樂 也很開闊Bye Bye Bye Bye 舊傷口現在我更愛這個我昨天快快快快 別插播我的心不方便再波動怎麼叫 怎麼跳只為愛我的朋友麥克風 交給我我就能給足感動上帝為我做了最好安排這世界 教會我愛要用心說十八歲的花朵二十八歲正要結果十年之前的那個我不懂天高 不懂地厚十年之後我還有更多夢要作,想法表達
A-Lin, Lin極限,是誰讓我 編一個藉口 暗淡了從前的我保持沉默 低調的做夢 釀出不思議天空想表現自己 怕得不到肯定 反覆的掙扎越來越沒自信別操多餘的心 反骨的勸不聽 有一件事再累也不放棄如果妳聽見我 勇氣慢慢復活二話不說 Now正是時候 OHLin極限 Be myself 唱就唱 真的我 擋不住 天聲麗質 閃耀發光Lin極限 Be yourself 要突破 舊念頭 大動作 綻放快樂 再美不過我能扮演 你要的角色 很傳神那又怎樣想要不同 就勇敢奔跑 愛我的人為我鼓掌話已經出口 敢說就要敢作 你和我擁抱不同的夢  鬼臉或笑臉 都想被知道 下一步你無法想像如果妳聽見我 勇氣慢慢復活二話不說 Now正是時候 OHLin極限 Be myself 唱就唱 真的我 擋不住 天聲麗質 閃耀發光Lin極限 Be yourself 要突破 舊念頭 大動作 綻放快樂 再美不過LaLaLa LaLaLa LaLaLa LaLaLaLa放音樂 瘋狂流動 再找到我LaLaLa LaLaLa LaLaLa LaLaLaLa LaLaLa 天聲麗質 閃耀發光Lin極限 Be yourself 唱就唱 舊念頭 擋不住 綻放快樂 再美不過Lin極限 Be yourself 要突破 舊念頭 大動作 綻放快樂 再美不過LaLaLa LaLaLa LaLaLa LaLaLaLaLaLaLa LaLaLa LaLaLa LaLaLaLa Lin極限,想法表達
A-Lin, 不要不要的,先不要 沒情調 浪漫很重要 卻沒辦法教愛不是口號 說說就好也不要 太冷調 要耐撞耐凹 還能開玩笑人生的無聊 是隨堂考不要不要的 愛到你求饒 好的受不了不要說 辦不到 沒有要求我不要愛到你求饒 不要不要的要知道 什麼 不想要 才最重要都是需要 互相的 my love默契打造Cheer不捨 別跑調 不要 所以 刪掉都需要 說到做到 不要 自我消耗都是需要 互相的 my love默契打造不要不要 不要不要 不要不要請不要 太高調 太閃會瞎掉 溫柔請收好  愛不是口號 夠炫就好不要不要的 愛到你求饒 好的受不了不要說辦不到 沒有要求我不要愛到你求饒 不要不要的要知道 什麼 不想要 才最重要都是需要 互相的 my love默契打造Cheer不捨 別跑調 不要 所以 刪掉都需要 說到做到 不要 自我消耗都是需要 互相的 my love默契打造不要不要 不要不要 不要不要也不要太討好 總有高低潮 做自己就好有稜角很好 那是驕傲都是需要 互相的 my love默契打造Cheer不捨 別跑調 不要 所以 刪掉都需要 說到做到 不要 自我消耗都是需要 互相的 my love默契打造,想法表達
A-Lin, 你點的歌救了我(& J.Sheon),"即使沒見過 哼過同一首歌片段的前奏  瞬間接通你我用聲音來塗鴉(客套太假 何必拘泥文法)不習慣廢話(音樂代我 說話)孤獨自轉的星球說快樂 也是快樂有骨頭 碰骨頭 那一種寂寞最熟悉的 新朋友當音樂 無中生友當音樂 點起火 我們是一夥你點的歌 立刻救了我當感覺 有了出口你點的歌 立刻救了我讓生活 更值得活OH I OH I OH IOH I OH I OH I你點的歌持續放著太狂這beat 不自覺唱著中了魔咒A.D.D. 我正在過動中像瘋了  放空去我倆組個隊伍搞綜藝騷擾奧客, 貴婦播個R&B就要晃著聽就別怯場跟我夜唱孤獨自轉的星球那時候 就我一個剩骨頭 碰骨頭 那一種寂寞最陌生的 老朋友當音樂 無中生友當音樂 點起火 我們是一夥你點的歌 立刻救了我當感覺 有了出口你點的歌 立刻救了我讓生活 更值得活OH I OH I OH IOH I OH I OH I你點的歌 立刻救了我新感覺 新的朋友你點的歌 立刻救了我讓快樂 更加快樂OH I OH I OH IOH I OH I OH I",想法表達
A-Lin, 我心已打烊,Baby 我是來自大海樂觀派Honey 我天生就是隨性簡單也遇過困難 也曾經想不開(Ma Ma不要說MaMa還是說)珍惜上帝 給予生命精彩念頭一轉 回純真投幣Live我心已打烊快來跟著節拍 一起自然High我心已打烊為你愛自己並不難 勇敢的人會明白  Baby 你是世上獨特又可愛Honey 該選擇從憂鬱中跳開在你身邊有多少愛的關懷(Ma Ma又在說MaMa還在說)珍惜上帝給予 生命精彩念頭一轉回純真投幣Live我心已打烊 我心已打烊 我心已打烊我心已打烊 我心已打烊 我心已打烊,想法表達
A-Lin, 我值得,把委屈脫掉 換上自由奔跑我選擇離開 你幻想中的美好因為我值得 做回自己最好不需要為你化妝 好像我是你想要你要那個誰 煙燻的眼朦朧之間只准看著你的臉你愛那個誰 踩著高跟鞋沒日沒夜只能跟在你的身邊我喜歡自己一個人跟誰約會要去哪裡就走 不需要對誰報備愛要完美無缺我不愛偽裝 不愛也不後悔  省點力說再見 我們再也不要見面因為我值得 對自己再多愛一點只為我值得 欣賞我所有的美因為我值得 我自在的靈魂只為我值得 我可以不像那個誰你要那個誰 愛慕的眼從頭到腳把你都看進心裡面我的心裡面 是你的嘴臉越想愛就越不得人疼的可憐因為我值得 真愛會值得 值得我不顧一切讓自己更好 做自己更好 不淪為誰的紀念,想法表達
A-Lin, 海洋之心,我心中有一個無盡的海洋沒有盡頭的彼方那裡永遠有陽光不要 完成別人給的夢想我有自己專屬臉龐錯誤中學會成長每一個轉彎 每一個路段每一次希望 每一次失望不管多困難 有什麼地方是我 不能闖我聽見地平線那一邊 呼喚我不用知道 終點多遠乘著風 迎著浪 揚著帆不是瘋狂 因為信仰人生是一場考驗堅強的流浪雖然 留在原點 十分安全天堂裡面沒有悲傷但我會失去幻想  雖然 能和別人一模一樣會有相同的讚賞但我有定制的主張每一個轉彎 每一個路段每一次希望 每一次失望不管多困難 有什麼地方是我不能闖我聽見地平線那一邊 呼喚我不用知道 終點多遠乘著風 迎著浪 揚著帆不是瘋狂 因為信仰越過了黑夜會遇見夢想我聽見地平線那一邊 呼喚我不用知道 終點多遠乘著風 迎著浪揚著帆 不是瘋狂因為信仰 終點在望,想法表達
A-Lin, 海語者,你可曾眺望，眼前的月亮那麼遠，靜靜地漂浮在海上那一捧清光，讓人不住想撫摸它溫柔的臉龐請告訴我天盡頭，在何地方等待著我的人是何模樣？潮汐來又往，一落又一漲給我一些時光你可曾想像，霧夜的海港  風浪是，滿布海面的荊棘網夜鶯卻放任它抵入胸膛好像旅人一樣飛翔閉上眼獨自迎向，那道塵障面朝彼岸那一晌，未彷徨把螺蕭吹響，為玄鯨歌唱親眼看看遠洋誰陪我人間逛逛，紅塵萬丈黎明後天光好像，珍珠的光在山海茫茫，熹微的遠方我要一一到訪,想法表達
A-Lin, 逃避沒有不好,哪個角落能療傷 誰有溫暖的肩膀為什麼愛上你會這麼的恐慌負荷不了的重量 沉的像你說的謊已經說的自然 我也全盲 停在錯的方向親愛的 逃避沒有不好(Baby gotta let it go)  與其被愛拖累 還不如單獨去飛(說真的)逃避沒有不好 太理智想犯罪突然變虛偽擁抱不如離愛遠一點我們可以更好的 心情可以更穩的說好了 要一起 逃離挫折 喔~,想法表達
A-Lin, 做我自己,期待下一個MR.Right出現 在我眼前醜小鴨的我要改頭換面 變得更美自信它是我字典裡美麗的恩典 深刻體會心情已經完全改變我的一切 問題解決穿上我最耀眼的高跟鞋 在你面前換上我最亮眼的一面 讓你看見空氣中的我散發出迷人的香味 這是絕對自信讓我實現所有一切全部都改變我不再去想別人怎麼看 我就是喜歡自己很勇敢就請你和我跟著音樂一起來搖擺現在我只想做我自己真的很愉快就請你秀出自己的勇敢 請走出來讓生命起步變得更澎湃 活的自在苦痛與寂寞統統都不再擾亂 把握現在  充實你自己每一天你會過得很精彩請別再去想別人怎麼看 就做你自己就會很All Right放開你胸懷大聲吶喊什麼都不管我不再去想別人怎麼看 我就是喜歡自己很勇敢就請你和我跟著音樂一起來搖擺如果你現在覺得頭痛 別躲在家裡自己寂寞不如就和我一樣一起大聲吶喊 放開所有一起來High請別再去想別人怎麼看 就做你自己就會很All Right放開你胸懷大聲吶喊 請你什麼都不必再管我不再去想別人怎麼看 我就是喜歡自己很勇敢就請你和我跟著音樂一起來搖擺我不再去想別人怎麼看 我就是喜歡自己很勇敢現在我只想做我自己 真的很愉快,想法表達
A-Lin, 圍城,終於只讓一個人關懷關起門來 還有什麼意外好像一輩子 一切都已安排這完美生活 美好得好應該終於成為他終身最愛被圍繞也同樣被依賴餘下夢想鎖在門外承諾像牢固的城堡裡面不自由流浪在外卻不自在走進來 闖進來 逃進來 躲進來在諾言裡發展未來留下來 停下來 這日子 過下來進不來的想像不來看門外 想進來 看窗外 想離開難怪那麼多人選擇徘徊最容易滿足的人才會忘了問精不精彩  站在陽台看不變風景誰在路上 對這陽台朝拜不好意思說 用自由換自在也別想過去 忐忑得好痛快遠離孤獨的人山人海滿足得沒什麼要期待好像贏了人生決賽在圍城裡張燈結綵好像終於能對全世界有個交代走進來 闖進來 逃進來 躲進來在諾言裡發展未來留下來 停下來 這日子 過下來進不來的想像不來看門外 想進來 看窗外 想離開難怪那麼多人選擇徘徊只有懂幸福的人才懂得進退一樣精彩一樣精彩,想法表達
